status	dataset_id	zip_path	size_bytes	seconds	blosc_arrays	blosc_chunks	message
converted	d68a8b48-abf0-4bd5-8834-155d34ec448a	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/d68a8b48-abf0-4bd5-8834-155d34ec448a/full.zarr.zip	2132650496	13.683270025998354	6	1514	ok
converted	cff99df2-4904-44f7-9173-ff837f95606e	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/cff99df2-4904-44f7-9173-ff837f95606e/full.zarr.zip	6979492078	48.347210455685854	12	5338	ok
converted	d7cff847-6403-44a6-ad8a-2f5a783639dd	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/d7cff847-6403-44a6-ad8a-2f5a783639dd/full.zarr.zip	198483875	1.1694563440978527	3	189	ok
converted	d7d7e89c-c93a-422d-8958-9b4a90b69558	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/d7d7e89c-c93a-422d-8958-9b4a90b69558/full.zarr.zip	168226711	1.2667982801795006	6	118	ok
converted	d7dcfd8f-2ee7-4385-b9ac-e074c23ed190	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/d7dcfd8f-2ee7-4385-b9ac-e074c23ed190/full.zarr.zip	409926350	3.164423033595085	6	290	ok
converted	d567b692-c374-4628-a508-8008f6778f22	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/d567b692-c374-4628-a508-8008f6778f22/full.zarr.zip	5755929214	41.6338339522481	6	4182	ok
converted	d8da613f-e681-4c69-b463-e94f5e66847f	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/d8da613f-e681-4c69-b463-e94f5e66847f/full.zarr.zip	541678078	4.393302638083696	6	438	ok
converted	d6dfdef1-406d-4efb-808c-3c5eddbfe0cb	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/d6dfdef1-406d-4efb-808c-3c5eddbfe0cb/full.zarr.zip	5740377971	23.91434297338128	6	3652	ok
converted	d973ea15-3722-4bc8-a0e8-1d956d26e203	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/d973ea15-3722-4bc8-a0e8-1d956d26e203/full.zarr.zip	26441644	0.34503716975450516	6	22	ok
converted	d967b47c-a9e6-4337-b2f4-977f690cb67f	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/d967b47c-a9e6-4337-b2f4-977f690cb67f/full.zarr.zip	569818230	3.5479090102016926	6	574	ok
converted	d71c6645-7ecb-4396-9c80-04d2749ab2e0	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/d71c6645-7ecb-4396-9c80-04d2749ab2e0/full.zarr.zip	2240461991	16.951198682188988	6	1724	ok
converted	d995b85b-69f2-48f4-b6ec-0b7bffd120f5	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/d995b85b-69f2-48f4-b6ec-0b7bffd120f5/full.zarr.zip	400450927	2.822441950440407	6	274	ok
converted	db1d2c1b-2ee1-45d5-9d53-69a327cd77e6	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/db1d2c1b-2ee1-45d5-9d53-69a327cd77e6/full.zarr.zip	293443738	1.9674006588757038	3	321	ok
converted	db59611b-42de-4035-93aa-1ed39f38b467	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/db59611b-42de-4035-93aa-1ed39f38b467/full.zarr.zip	138645559	1.217077661305666	6	102	ok
converted	dbf0bd35-87f8-4b25-bc90-a3c54f379907	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/dbf0bd35-87f8-4b25-bc90-a3c54f379907/full.zarr.zip	27261652	0.353361539542675	6	22	ok
converted	dc30c3ec-46d6-4cd8-8ec1-b544a3d0f503	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/dc30c3ec-46d6-4cd8-8ec1-b544a3d0f503/full.zarr.zip	34313248	0.31435101106762886	3	39	ok
converted	dd03ce70-3243-4c96-9561-330cc461e4d7	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/dd03ce70-3243-4c96-9561-330cc461e4d7/full.zarr.zip	269390058	1.9456477873027325	3	293	ok
converted	c838aec3-03ef-4398-b882-0e3912abfff0	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/c838aec3-03ef-4398-b882-0e3912abfff0/full.zarr.zip	15962407853	115.64638558030128	6	10172	ok
converted	d9f3a82c-24bb-4277-b715-8ec92a33dd32	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/d9f3a82c-24bb-4277-b715-8ec92a33dd32/full.zarr.zip	1099522669	7.1231437884271145	3	1161	ok
converted	de2c780c-1747-40bd-9ccf-9588ec186cee	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/de2c780c-1747-40bd-9ccf-9588ec186cee/full.zarr.zip	216348378	1.405667208135128	3	231	ok
converted	de94c504-4b58-4f42-b68d-74a8e4892f0e	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/de94c504-4b58-4f42-b68d-74a8e4892f0e/full.zarr.zip	161470227	1.3510184586048126	6	114	ok
converted	ddb22b3d-a75c-4dd1-9730-dff7fc8ca530	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/ddb22b3d-a75c-4dd1-9730-dff7fc8ca530/full.zarr.zip	918341690	5.0780143439769745	6	508	ok
converted	de985818-285f-4f59-9dbd-d74968fddba3	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/de985818-285f-4f59-9dbd-d74968fddba3/full.zarr.zip	410780423	3.1324159130454063	6	270	ok
converted	dea1aa78-c0a2-413f-b375-f91cce49e4d0	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/dea1aa78-c0a2-413f-b375-f91cce49e4d0/full.zarr.zip	579789204	3.7236491292715073	3	631	ok
converted	df1edb87-e512-43ae-b5f4-cb179cfc2bb4	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/df1edb87-e512-43ae-b5f4-cb179cfc2bb4/full.zarr.zip	499349192	3.906845338642597	6	354	ok
converted	e067e5ca-e53e-485f-aa8e-efd5435229c8	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/e067e5ca-e53e-485f-aa8e-efd5435229c8/full.zarr.zip	413746732	3.0924974866211414	6	326	ok
converted	e2094676-d4d5-400c-afa5-7ca3ec09025c	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/e2094676-d4d5-400c-afa5-7ca3ec09025c/full.zarr.zip	95092486	0.7883358150720596	6	70	ok
converted	e22482ee-19e8-40bc-9f6e-541dc3c82c20	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/e22482ee-19e8-40bc-9f6e-541dc3c82c20/full.zarr.zip	212871587	1.8714346960186958	6	166	ok
converted	e1f595f6-ba2c-495e-9bee-7056f116b1e4	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/e1f595f6-ba2c-495e-9bee-7056f116b1e4/full.zarr.zip	1046737776	6.911708250641823	3	1135	ok
converted	e2a325e2-5633-4950-ae46-ebff70979e3b	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/e2a325e2-5633-4950-ae46-ebff70979e3b/full.zarr.zip	430124116	1.8540770411491394	7	185	ok
converted	e347396c-a7ff-4691-9f7a-99a43555ca18	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/e347396c-a7ff-4691-9f7a-99a43555ca18/full.zarr.zip	11574710	0.12825998291373253	6	10	ok
converted	e2a00644-0a48-4815-ae87-d562045114f5	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/e2a00644-0a48-4815-ae87-d562045114f5/full.zarr.zip	1260537828	8.785738218575716	6	898	ok
converted	e3cc5b85-62ec-4add-bee3-73c8fd11e59d	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/e3cc5b85-62ec-4add-bee3-73c8fd11e59d/full.zarr.zip	423289735	2.773218184709549	6	290	ok
converted	e3ed2ba4-edf5-40ac-8750-8a417ad1eefe	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/e3ed2ba4-edf5-40ac-8750-8a417ad1eefe/full.zarr.zip	731974882	5.594112683087587	6	526	ok
converted	e34f3f89-3a48-4173-a06a-9e9803f2e2b9	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/e34f3f89-3a48-4173-a06a-9e9803f2e2b9/full.zarr.zip	4312735106	13.350427895784378	7	1540	ok
converted	e500acbf-f166-4c46-b290-f93506cf26d3	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/e500acbf-f166-4c46-b290-f93506cf26d3/full.zarr.zip	505225763	3.794125609099865	6	346	ok
converted	e2808a6e-e2ea-41b9-b38c-4a08f1677f02	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/e2808a6e-e2ea-41b9-b38c-4a08f1677f02/full.zarr.zip	3980576735	27.974868491292	6	2902	ok
converted	de5416ef-bbfa-41f3-99d4-01a3554173f5	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/de5416ef-bbfa-41f3-99d4-01a3554173f5/full.zarr.zip	6087435202	42.42790462821722	6	3978	ok
converted	e5b1115b-a486-49bb-bda3-8261822836e0	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/e5b1115b-a486-49bb-bda3-8261822836e0/full.zarr.zip	288513089	1.9842844903469086	3	313	ok
converted	e5f5d954-cf0e-4bd8-9346-8d1ddf15a08b	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/e5f5d954-cf0e-4bd8-9346-8d1ddf15a08b/full.zarr.zip	23146249	0.30333641916513443	6	22	ok
converted	e6361237-ac4e-4c5d-ad8f-f16aca0c0a8f	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/e6361237-ac4e-4c5d-ad8f-f16aca0c0a8f/full.zarr.zip	1485109600	9.9161990955472	6	958	ok
converted	e51bae9a-c747-4b64-904a-4da7cda218ab	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/e51bae9a-c747-4b64-904a-4da7cda218ab/full.zarr.zip	5127702774	24.747747246176004	6	3194	ok
