[2026-07-03T14:42:08] root=/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens tasks=622 jobs=8 blocksize=65536 verify=True
[2026-07-03T14:42:08] skipped     0.0% 00476f9f-ebc1-4b72-b541-32f912ce36ea (98.5 MiB, 0.0s) already at target blocksize
[2026-07-03T14:42:46] converted   2.2% 137ca42b-33b3-48fa-ae80-02a0747027cb (171.1 MiB, 1.5s) ok
[2026-07-03T14:42:47] converted   2.3% 12c3efd8-d515-42e6-b93c-4961e599d524 (339.1 MiB, 2.7s) ok
[2026-07-03T14:42:47] converted   2.3% 13b61a7d-5605-4948-ba48-02c588960143 (286.2 MiB, 2.4s) ok
[2026-07-03T14:42:47] converted   2.3% 14363b6e-3428-45b0-8704-10fd5d6316df (103.8 MiB, 1.0s) ok
[2026-07-03T14:42:47] converted   2.3% 149b2c3f-ee11-47a7-984b-923570280bd7 (29.5 MiB, 0.2s) ok
[2026-07-03T14:42:51] converted   2.4% 11ff73e8-d3e4-4445-9309-477a2c5be6f6 (933.4 MiB, 7.2s) ok
[2026-07-03T14:42:53] converted   2.4% 145dcf6a-2461-4fa3-a0af-7fc56db0bd33 (947.6 MiB, 6.4s) ok
[2026-07-03T14:42:54] converted   2.5% 171b03c9-516b-499c-a434-fa4f70191988 (671.8 MiB, 2.9s) ok
[2026-07-03T14:42:56] converted   2.5% 182f6a56-7360-4924-a74e-1772e07b3031 (264.5 MiB, 2.0s) ok
[2026-07-03T14:42:56] converted   2.5% 17e9d436-a264-4c94-a42d-48c8daf6fdd9 (576.2 MiB, 3.1s) ok
[2026-07-03T14:42:56] converted   2.6% 15d374d6-0dfd-4d8e-ade7-81f73dc921ee (1456.5 MiB, 9.2s) ok
[2026-07-03T14:42:58] converted   2.6% 18500fcd-9960-49cb-8a8e-7d868dc14efe (305.7 MiB, 2.0s) ok
[2026-07-03T14:43:05] converted   2.9% 0c0c49a2-b96b-432f-98a4-1decf9929149 (4077.5 MiB, 38.7s) ok
[2026-07-03T14:43:07] converted   2.9% 19b21f40-db42-4a71-a0d6-913e83b17784 (294.1 MiB, 2.2s) ok
[2026-07-03T14:43:07] converted   3.1% 1873a18a-66fd-4a4d-8277-a872c93f5b59 (1722.6 MiB, 10.5s) ok
[2026-07-03T14:43:10] converted   3.1% 19e46756-9100-4e01-8b0e-23b557558a4c (388.6 MiB, 3.3s) ok
[2026-07-03T14:43:11] converted   3.1% 1a018108-b4b6-457b-ba15-046d5e98c169 (91.4 MiB, 0.7s) ok
[2026-07-03T14:43:17] converted   3.2% 19f1bec6-eeb7-4133-accc-992d745fef89 (1205.5 MiB, 9.7s) ok
[2026-07-03T14:43:18] converted   3.3% 1a2e3350-28a8-4f49-b33c-5b67ceb001f6 (1454.2 MiB, 7.0s) ok
[2026-07-03T14:43:21] converted   3.6% 16023185-de21-4c0d-a9c8-73abdd52d142 (4411.7 MiB, 33.1s) ok
[2026-07-03T14:43:22] converted   3.8% 18e2a8c5-33f7-455e-a58a-b2ba6921db27 (2994.0 MiB, 25.1s) ok
[2026-07-03T14:43:25] converted   3.9% 1a974af7-8b4b-4abb-8aba-23e2979d9518 (1600.3 MiB, 6.9s) ok
[2026-07-03T14:43:32] converted   4.0% 1ab4ebbc-18d6-4838-89c2-cdc5b10accfb (1373.2 MiB, 10.8s) ok
[2026-07-03T14:43:34] converted   4.7% 0ba636a1-4754-4786-a8be-7ab3cf760fd6 (9548.4 MiB, 72.0s) ok
[2026-07-03T14:43:35] converted   4.7% 1b767f95-d0a0-4a3d-b394-cc665d86c3dc (302.5 MiB, 2.2s) ok
[2026-07-03T14:43:51] converted   4.9% 1c53ef1e-45c7-4498-be59-6797f3950875 (3210.7 MiB, 16.3s) ok
[2026-07-03T14:44:02] converted   6.3% 0129dbd9-a7d3-4f6b-96b9-1da155a93748 (21018.7 MiB, 113.9s) ok
